chromosome,length (mm)
1,85
2,83
3,67
4,65
5,62
6,58
7,54
8,50
9,48
10,46
11,46
12,45
13,39
14,36
15,35
16,31
17,28
18,27
19,20
20,21
21,16
22,17
x,53
y,20
